iter	MultiClass
236	0.7959494019
237	0.79569798
238	0.7955534188
239	0.7953653921
240	0.7952277325
241	0.7950025105
242	0.7949363971
243	0.7947863968
244	0.7945950841
245	0.7944062638
246	0.794248668
247	0.7939660663
248	0.7937388986
249	0.7935960798
250	0.7934611825
251	0.7933126815
252	0.7932169996
253	0.7930439439
254	0.7929047415
255	0.7927367391
256	0.7925806566
257	0.7925004919
258	0.792392843
259	0.792234696
260	0.7920954084
261	0.7920109
262	0.7919335944
263	0.7917665427
264	0.7916311626
265	0.7914709227
266	0.7913181055
267	0.791142738
268	0.7909834529
269	0.7907644885
270	0.7905966062
271	0.7904907248
272	0.7903203938
273	0.7901137565
274	0.7899427327
275	0.7898064428
276	0.7897139788
277	0.7895832881
278	0.7895404443
279	0.789391755
280	0.789190386
281	0.7890519658
282	0.7889297634
283	0.7887482782
284	0.7886464025
285	0.7885306457
286	0.7884333894
287	0.7881807653
288	0.7880080925
289	0.7878852352
290	0.7877266494
291	0.7876028084
292	0.7874738973
293	0.7872112033
294	0.7870345228
295	0.7868209657
296	0.7867060209
297	0.7865362345
298	0.7863386947
299	0.7862056067
300	0.7859201001
301	0.785821981
302	0.7856658533
303	0.7855583801
304	0.7852387471
305	0.785114867
306	0.7849345036
307	0.7847550109
308	0.7846108462
309	0.784498042
310	0.7843900779
311	0.7842458502
312	0.7840964244
313	0.784003602
314	0.7838056982
315	0.783725315
316	0.7835286977
317	0.7834444578
318	0.7832484996
319	0.7831164463
320	0.782913547
321	0.7827240604
322	0.782505782
323	0.7822565199
324	0.7821152074
325	0.7818690235
326	0.781713898
327	0.7815232998
328	0.7813554753
329	0.7812054252
330	0.7811098315
331	0.7809640673
332	0.7808710297
333	0.7807036217
334	0.78054263
335	0.7804445537
336	0.7803066092
337	0.780124636
338	0.7800215678
339	0.7798812261
340	0.7797375437
341	0.7795380134
342	0.7792679304
343	0.7790420357
344	0.7788496913
345	0.7787035464
346	0.7786178223
347	0.7784833643
348	0.7784111274
349	0.7782246658
350	0.7781142966
351	0.7780150057
352	0.7778945756
353	0.7777795478
354	0.7775856698
355	0.7774278708
356	0.7773341577
357	0.7771899276
358	0.7769880954
359	0.7768600549
360	0.7766768271
361	0.7764415558
362	0.7763792594
363	0.7762673699
364	0.7760848153
365	0.7760047084
366	0.7758800214
367	0.7756850788
368	0.775602372
369	0.7755080059
370	0.7753900199
371	0.7753215861
372	0.7751692447
373	0.7750577353
374	0.7749630565
375	0.7748386985
376	0.7746433053
377	0.7744772719
378	0.7742931848
379	0.774096529
380	0.7739543556
381	0.7738873531
382	0.7737095228
383	0.7735638444
384	0.7733943863
385	0.7731930082
386	0.7729874659
387	0.772837739
388	0.7727277229
389	0.7726518024
390	0.772527237
391	0.7725017999
392	0.7724020883
393	0.7722712062
394	0.7720762204
395	0.771969568
396	0.7718159963
397	0.7717535429
398	0.7716477404
399	0.7715517922
400	0.7715216299
401	0.7713617314
402	0.771220772
403	0.7710806855
404	0.7709224932
405	0.7708165545
406	0.7706797788
407	0.770538827
408	0.7703628681
409	0.7702130362
410	0.7700547302
411	0.7699496577
412	0.7698325713
413	0.7697081998
414	0.7695534738
415	0.7694491496
416	0.7692391982
417	0.7691451686
418	0.7689569124
419	0.7687460534
420	0.7685952414
421	0.7684565227
422	0.7682863239
423	0.7682003055
424	0.7681113556
425	0.7679034994
426	0.7676938874
427	0.7675956105
428	0.7675029647
429	0.767346329
430	0.7671459417
431	0.7670096791
432	0.7667604103
433	0.7666582817
434	0.7665795054
435	0.7664107731
436	0.7662617501
437	0.7661117176
438	0.7659970667
439	0.7658607396
440	0.7656283715
441	0.765543311
442	0.765434355
443	0.7653752148
444	0.7651778388
445	0.7651013668
446	0.7650016802
447	0.7647869446
448	0.764646504
449	0.7644785565
450	0.764333589
451	0.7642146062
452	0.7640769564
453	0.7638732884
454	0.7637693623
455	0.7636183603
456	0.7635455102
457	0.7633100038
458	0.7632165056
459	0.7630954222
460	0.7629212067
461	0.7627564031
462	0.7626546892
463	0.7625284704
464	0.7623874891
465	0.7622546136
466	0.7620788926
467	0.7619720574
468	0.7619024064
469	0.7617196698
470	0.7616201902
471	0.7615014619
472	0.7613799778
473	0.7612752337
474	0.7610458246
475	0.7609654802
476	0.7608366758
477	0.7606621058
478	0.7605030397
479	0.7604307297
480	0.7602373692
481	0.7600885659
482	0.759910624
483	0.7598085948
484	0.7597382508
485	0.7595394754
486	0.7593909134
487	0.7592087482
488	0.7590721726
489	0.758995327
490	0.7588633344
491	0.7587092227
492	0.7585728584
493	0.7585411272
494	0.7584045187
495	0.7582798433
496	0.7580582532
497	0.757875328
498	0.7577181138
499	0.7575660786
500	0.75741724
501	0.7573452855
502	0.7572768282
503	0.7571342965
504	0.7570207844
505	0.7569599374
506	0.7568897882
507	0.7568104478
508	0.7567335212
509	0.756654856
510	0.7564899708
511	0.7562947388
512	0.7561028671
513	0.7560524512
514	0.7558403625
515	0.7557067683
516	0.7555592094
517	0.7554164433
518	0.7552642956
519	0.755236974
520	0.7551223392
521	0.7549490321
522	0.7547436812
523	0.7545183028
524	0.7543718585
525	0.7542324134
526	0.7540650407
527	0.7538959348
528	0.753760446
529	0.7536326491
530	0.7535259494
531	0.7533775209
532	0.7532417573
533	0.7531070629
534	0.7530304414
535	0.7529510156
536	0.7528058768
537	0.7526617362
538	0.7525698391
539	0.7525077055
540	0.7523558351
541	0.7523158559
542	0.7521506965
543	0.7520234049
544	0.7519456934
545	0.751813037
546	0.7515740314
547	0.7514682329
548	0.7512676564
549	0.7510927384
550	0.7509674517
551	0.7507740638
552	0.7505762879
553	0.7504283939
554	0.7503885331
555	0.7502925726
556	0.750243062
557	0.7501305658
558	0.7499661852
559	0.7498605093
560	0.7498089562
561	0.7496753701
562	0.7495222487
563	0.7493502405
564	0.749226135
565	0.74906565
566	0.7488868298
567	0.7488166061
568	0.7486950533
569	0.7485481436
570	0.7484499799
571	0.7483128296
572	0.7481904272
573	0.7480805477
574	0.7479538993
575	0.7478601095
576	0.7476437752
577	0.747484367
578	0.7474248166
579	0.7473530775
580	0.7472199767
581	0.7471066242
582	0.7469555653
583	0.7468171899
584	0.7467479065
585	0.7466234194
586	0.7465523197
587	0.7464400872
588	0.7462651862
589	0.7460030852
590	0.7458276444
591	0.7457437341
592	0.7456094956
593	0.745484895
594	0.7453769948
595	0.7452735167
596	0.745219374
597	0.7451707682
598	0.7450335798
599	0.7449426812
600	0.744822514
601	0.7446994538
602	0.7446067628
603	0.744579348
604	0.7444676773
605	0.7443140973
606	0.7441909337
607	0.7440893443
608	0.7439928257
609	0.7438863288
610	0.743744918
611	0.7436287171
612	0.7435392046
613	0.74331947
614	0.7431667157
615	0.7430528764
616	0.7429476186
617	0.7427928073
618	0.7426277925
619	0.7424831176
620	0.7423197089
621	0.7421930168
622	0.7420950606
623	0.7420228261
624	0.7419150394
625	0.7417404507
626	0.7416029156
627	0.7414681566
628	0.741349488
629	0.7412526344
630	0.7411326174
631	0.7410338137
632	0.7409434835
633	0.7407578351
634	0.7406846013
635	0.7405601011
636	0.7404045655
637	0.7403045614
638	0.74021208
639	0.7399928625
640	0.7399116843
641	0.7398496097
642	0.7397585111
643	0.7396842839
644	0.7395589689
645	0.7394563614
646	0.7394346459
647	0.7393970418
648	0.7393226356
649	0.7393067275
650	0.7392044739
651	0.7391438252
652	0.7390289522
653	0.7388538104
654	0.7386985402
655	0.7385292896
656	0.7383479967
657	0.7382860046
658	0.7381510988
659	0.7380481035
660	0.737924245
661	0.7377595541
662	0.7376171907
663	0.7375464737
664	0.7374153392
665	0.7373227231
666	0.7372064763
667	0.7370987888
668	0.7369579754
669	0.7367848382
670	0.7366278038
671	0.7364640198
672	0.7363425114
673	0.7362350159
674	0.7360543431
675	0.7359198255
676	0.7358151369
677	0.735696956
678	0.7356264822
679	0.7355161478
680	0.7354095614
681	0.7353585281
682	0.7352129407
683	0.7351541251
684	0.7351043397
685	0.7350124347
686	0.7349473557
687	0.7348022104
688	0.7346810869
689	0.7345370382
690	0.734406731
691	0.7342647231
692	0.7341311904
693	0.7340517764
694	0.7339851146
695	0.7339158276
696	0.7337482343
697	0.7336770865
698	0.7336141714
699	0.7335620485
700	0.7334397282
701	0.7333346361
702	0.7332219462
703	0.7331287288
704	0.7330425603
705	0.7328924312
706	0.7327786911
707	0.7326874171
708	0.7325613115
709	0.7324950508
710	0.7323748917
711	0.7322452903
712	0.7321766501
713	0.7320676848
714	0.731956971
715	0.7318999838
716	0.7316885064
717	0.7314833461
718	0.7313149666
719	0.7311007145
720	0.73104384
721	0.7309823314
722	0.7308189813
723	0.7307133885
724	0.7306349654
725	0.7305162881
726	0.7304108525
727	0.7302821787
728	0.7301092832
729	0.7300209801
730	0.7299283482
731	0.7298347273
732	0.7297005421
733	0.7295579423
734	0.7294337722
735	0.7293913704
736	0.7292993783
737	0.729195731
738	0.7290522875
739	0.7289165087
740	0.728843822
741	0.7287708652
742	0.7286847563
743	0.7285776493
744	0.7284677434
745	0.7283494408
746	0.7282900369
747	0.7282421222
748	0.7281234664
749	0.7279851032
750	0.72786869
751	0.727734325
752	0.7275120951
753	0.7273225684
754	0.7271824254
755	0.7270395965
756	0.7268497103
757	0.726781116
758	0.726710914
759	0.7266505827
760	0.7266152978
761	0.7264924279
762	0.7264270697
763	0.7262504813
764	0.7262138177
765	0.7261219773
766	0.7260785486
767	0.725936853
768	0.7258552596
769	0.7257393931
770	0.7255323542
771	0.7253188732
772	0.725258078
773	0.7252135358
774	0.7251407987
775	0.7250195541
776	0.7249005553
777	0.7248253562
778	0.7246694895
779	0.7245485457
780	0.7244510372
781	0.724281618
782	0.7241921967
783	0.7240395174
784	0.7239422807
785	0.7238129558
786	0.7236914759
787	0.7236049989
788	0.7235543426
789	0.7234876718
790	0.7233425728
791	0.7232352057
792	0.7231335545
793	0.7230385165
794	0.7228573335
795	0.7227728408
796	0.7226786987
797	0.7226325781
798	0.7224580682
799	0.7223400099
800	0.7222777881
801	0.7222187441
802	0.72209805
803	0.7219578734
804	0.7218506152
805	0.7217677566
806	0.7216901146
807	0.7215612587
808	0.7214059
809	0.7212640452
810	0.721073958
811	0.7209979284
812	0.7208989659
813	0.7208224263
814	0.7206570015
815	0.720540576
816	0.7204799593
817	0.7204003545
818	0.7202753909
819	0.7202058329
820	0.7200744005
821	0.7199948913
822	0.7199037009
823	0.7198436511
824	0.7197556861
825	0.7196537221
826	0.7195144339
827	0.7194617677
828	0.7194165551
829	0.7192837701
830	0.7192189164
831	0.7191037613
832	0.7190742543
833	0.7189971417
834	0.718884903
835	0.7187052414
836	0.7186055117
837	0.7184807206
838	0.7183652295
839	0.7182560979
840	0.7181490388
841	0.718098129
842	0.7180143973
843	0.7178837756
844	0.7178168856
845	0.7177185282
846	0.7175540099
847	0.7174316731
848	0.7173760268
849	0.7173251992
850	0.7172434471
851	0.7171948672
852	0.7170747511
853	0.7170158253
854	0.7169113692
855	0.7168398663
856	0.7167453535
857	0.7165719381
858	0.716456559
859	0.716338839
860	0.7162042477
861	0.7160444206
862	0.7159495943
863	0.7158839827
864	0.7158131843
865	0.7156917295
866	0.715510752
867	0.7153919458
868	0.7152874966
869	0.7151554492
870	0.7150919557
871	0.7150280742
872	0.7149868439
873	0.7148360689
874	0.7147680766
875	0.7146764122
876	0.7146364895
877	0.7145296911
878	0.7144245962
879	0.7142712364
880	0.7142214135
881	0.7140783213
882	0.7140062297
883	0.7139221563
884	0.7137764248
885	0.713728373
886	0.7136651063
887	0.7135891512
888	0.7134750953
889	0.7133589816
890	0.7133293725
891	0.7132411773
892	0.7130911369
893	0.7129955325
894	0.7128745609
895	0.7127964202
896	0.7127082071
897	0.7126393592
898	0.7124964321
899	0.7124111775
900	0.7123465972
901	0.7122277694
902	0.7121085169
903	0.7120019395
904	0.7119302127
905	0.7118234794
906	0.7117115726
907	0.7116448131
908	0.7115930011
909	0.7114434261
910	0.7113378505
911	0.7112380922
912	0.7111198243
913	0.7110544244
914	0.710965731
915	0.7108923129
916	0.7108304329
917	0.7106565902
918	0.7105647429
919	0.7104529771
920	0.7103850865
921	0.7103453419
922	0.7101657219
923	0.7100743529
924	0.7099437749
925	0.7099046548
926	0.7097723014
927	0.709719308
928	0.7096551582
929	0.7095816134
930	0.7095075386
931	0.7094116654
932	0.7093115187
933	0.7092365047
934	0.7091331745
935	0.7090121844
936	0.7088933193
937	0.7088133803
938	0.7087394286
939	0.7086685614
940	0.708584082
941	0.7085260009
942	0.7084286154
943	0.7083539322
944	0.7082594127
945	0.7081197915
946	0.7080196992
947	0.7078763734
948	0.7077751102
949	0.7076820436
950	0.7076200981
951	0.7074976736
952	0.7073690616
953	0.7072925573
954	0.707255404
955	0.707235083
956	0.7071866934
957	0.7070647622
958	0.7070196366
959	0.706908019
960	0.7068372222
961	0.7067299284
962	0.7066817787
963	0.7065713206
964	0.7064707968
965	0.7063891724
966	0.706278992
967	0.7061228786
968	0.7060399336
969	0.7059700223
970	0.7058720756
971	0.7057476555
972	0.7056868977
973	0.7055745181
974	0.7054344739
975	0.7053588025
976	0.7053149973
977	0.7052252636
978	0.7051206293
979	0.7050464116
980	0.7050048718
981	0.7048558969
982	0.7047276301
983	0.7045491627
984	0.7044591887
985	0.704380259
986	0.7042946356
987	0.7042420669
988	0.7041579447
989	0.704115573
990	0.7040241858
991	0.703969394
992	0.7038683232
993	0.7037810313
994	0.7036754544
995	0.7035770294
996	0.7034992295
997	0.70341136
998	0.703355184
999	0.7032503436
